x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y
1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2
4,0,3,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0
4,0,3,1,0,1,0,0,0,0,2,1,0,0,0,1,0,0,1,2,3
2,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,3,0,0,1,0,0,1,0,0,2,0,1,1,0,0,0,1,0,1
15,1,6,2,10,5,0,0,0,1,3,4,0,1,8,2,2,1,0,5,1
1,1,1,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3
4,0,3,0,3,2,0,0,1,0,0,0,1,0,4,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
1,1,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0
3,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,1,0
5,0,3,0,1,2,0,0,0,0,0,1,1,0,2,0,0,2,0,0,1
2,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
8,0,5,0,1,3,0,1,0,1,2,0,1,0,4,2,0,1,0,1,4
4,1,3,0,3,1,1,0,0,0,1,3,0,0,0,1,0,0,0,1,7
2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,9
4,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,21
5,0,5,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,3,8
2,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,11
2,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,4
4,0,4,0,0,0,0,0,0,2,0,2,0,1,1,0,0,1,0,1,13
