x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y
0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,23
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,10
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11
0,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,2,9
1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,2,2,0,0,0,13
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7
1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,2,4
3,2,0,0,2,7,2,0,2,3,0,1,1,0,0,4,2,2,0,2,4
0,1,0,1,2,2,1,0,0,2,0,1,0,0,0,0,0,1,1,0,7
1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2,0,0,8
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,3,1,2,0,4,0,0,0,0,0,1,4,1,0,0,5
0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,1,0,0,8
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12
0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,1,1,1,0,2,7
0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,4,3,0,0,1,22
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,51
0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,2,0,0,0,1,37
0,0,0,1,0,4,1,1,1,2,1,0,0,0,2,2,3,0,1,1,41
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,68
1,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,3,0,0,0,64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
